3455 29
2 3456 29
2 3457 29
2 3458 29
2 3459 29
2 3460 29
2 3461 29
2 3462 29
2 3463 29
2 3464 29
2 3465 29
2 3466 29
2 3467 29
2 0 27
2 1 27
2 2 27
2 3 27
2 4 27
2 5 27
2 6 27
2 7 27
2 8 27
2 9 27
2 10 27
2 11 26
2 12 27
2 13 27
2 14 27
2 15 27
2 16 27
2 17 28
2 18 27
2 19 28
2 20 27
2 21 27
2 22 27
2 23 27
2 24 27
2 25 27
2 26 27
2 27 27
2 28 27
2 29 28
2 30 28
2 31 27
2 32 27
2 33 27
2 34 28
2 35 27
2 36 27
2 37 28
2 38 27
2 39 28
2 40 28
2 41 28
2 42 27
2 43 27
2 44 27
2 45 27
2 46 27
2 47 27
2 48 27
2 49 27
2 50 28
2 51 27
2 52 27
2 53 27
2 54 28
2 55 27
2 56 27
2 57 28
2 58 27
2 59 28
2 60 27
2 61 27
2 62 27
2 63 27
2 64 27
2 65 28
2 66 27
2 67 27
2 68 28
2 69 27
2 70 27
2 71 27
2 72 28
2 73 27
2 74 28
2 75 27
2 76 28
2 77 27
2 78 27
2 79 27
2 80 27
2 81 27
2 82 27
2 83 27
2 84 27
2 85 27
2 86 27
2 87 28
2 88 27
2 89 27
2 90 27
2 91 28
2 92 26
2 93 27
2 94 28
2 95 27
2 96 27
2 97 27
2 98 27
2 99 27
2 100 27
2 101 27
2 102 29
2 103 30
2 104 29
2 105 30
2 106 30
2 107 31
2 108 29
2 109 29
2 110 27
2 111 27
2 112 28
2 113 28
2 114 28
2 115 28
2 116 29
2 117 29
2 118 29
2 119 30
2 120 30
2 121 30
2 122 30
2 123 30
2 124 30
2 125 30
2 126 30
2 127 30
2 128 28
2 129 28
2 130 28
2 131 30
2 132 30
2 133 29
2 134 29
2 135 30
2 136 30
2 137 28
2 138 28
2 139 28
2 140 28
2 141 28
2 142 29
2 143 30
2 144 30
2 145 30
2 146 30
2 147 30
2 148 30
2 149 30
2 150 30
2 151 30
2 152 30
2 153 29
2 154 29
2 155 30
2 156 30
2 157 28
2 158 28
2 159 28
2 160 29
2 161 30
2 162 30
2 163 29
2 164 29
2 165 29
2 166 29
2 167 29
2 168 29
2 169 30
2 170 30
2 171 29
2 172 29
2 173 29
2 174 29
2 175 29
2 176 29
2 177 30
2 178 30
2 179 30
2 180 30
2 181 30
2 182 29
2 183 29
2 184 29
2 185 29
2 186 29
2 187 29
2 188 29
2 189 29
2 190 30
2 191 29
2 192 29
2 193 29
2 194 29
2 195 29
2 196 29
2 197 30
2 198 30
2 199 30
2 200 30
2 201 30
2 202 29
2 203 29
2 204 29
2 205 29
2 206 29
2 207 29
2 208 30
2 209 30
2 210 30
2 211 29
2 212 29
2 213 29
2 214 29
2 215 30
2 216 29
2 217 29
2 218 29
2 219 30
2 220 30
2 221 30
2 222 30
2 223 30
2 224 30
2 225 30
2 226 29
2 227 30
2 228 30
2 229 30
2 230 30
2 231 30
2 232 30
2 233 29
2 234 29
2 235 30
2 236 30
2 237 29
2 238 29
2 239 30
2 240 29
2 241 30
2 242 30
2 243 29
2 244 29
2 245 29
2 246 29
2 247 30
2 248 30
2 249 30
2 250 30
2 251 29
2 252 29
2 253 29
2 254 29
2 255 29
2 256 29
2 257 30
2 258 29
2 259 29
2 260 29
2 261 29
2 262 29
2 263 29
2 264 29
2 265 29
2 266 29
2 267 29
2 268 29
2 269 29
2 270 29
2 271 29
2 272 29
2 273 29
2 274 29
2 275 29
2 276 29
2 277 30
2 278 30
2 279 30
2 280 29
2 281 29
2 282 29
2 283 29
2 284 29
2 285 29
2 286 29
2 287 29
2 288 29
2 289 29
2 290 29
2 291 29
2 292 29
2 293 29
2 294 29
2 295 29
2 296 29
2 297 30
2 298 29
2 299 30
2 300 29
2 301 29
2 302 29
2 303 29
2 304 29
2 305 29
2 306 29
2 307 29
2 308 29
2 309 29
2 310 30
2 311 29
2 312 29
2 313 29
2 314 29
2 315 29
2 316 29
2 317 30
2 318 30
2 319 30
2 320 30
2 321 30
2 322 29
2 323 29
2 324 29
2 325 29
2 326 29
2 327 29
2 328 29
2 329 30
2 330 30
2 331 29
2 332 29
2 333 29
2 334 29
2 335 29
2 336 29
2 337 30
2 338 30
2 339 30
2 340 30
2 341 30
2 342 29
2 343 29
2 344 29
2 345 29
2 346 29
2 347 29
2 348 29
2 349 29
2 350 30
2 351 29
2 352 29
2 353 29
2 354 29
2 355 29
2 356 29
2 357 29
2 358 29
2 359 30
2 360 29
2 361 29
2 362 29
2 363 29
2 364 29
2 365 29
2 366 29
2 367 29
2 368 29
2 369 29
2 370 29
2 371 29
2 372 29
2 373 29
2 374 29
2 375 29
2 376 29
2 377 29
2 378 29
2 379 29
2 380 29
2 381 29
2 382 29
2 383 29
2 384 29
2 385 29
2 386 29
2 387 29
2 388 29
2 389 29
2 390 29
2 391 29
2 392 29
2 393 29
2 394 29
2 395 29
2 396 29
2 397 29
2 398 29
2 399 29
2 400 29
2 401 29
2 402 29
2 403 29
2 404 29
2 405 29
2 406 29
2 407 29
2 408 29
2 409 29
2 410 29
2 411 29
2 412 29
2 413 29
2 414 29
2 415 29
2 416 29
2 417 30
2 418 29
2 419 30
2 420 29
2 421 29
2 422 29
2 423 29
2 424 29
2 425 29
2 426 29
2 427 29
2 428 29
2 429 29
2 430 29
2 431 29
2 432 29
2 433 29
2 434 29
2 435 29
2 436 29
2 437 30
2 438 29
2 439 29
2 440 29
2 441 29
2 442 29
2 443 29
2 444 29
2 445 29
2 446 29
2 447 29
2 448 29
2 449 29
2 450 29
2 451 29
2 452 29
2 453 29
2 454 29
2 455 29
2 456 29
2 457 29
2 458 29
2 459 29
2 460 29
2 461 29
2 462 29
2 463 29
2 464 29
2 465 29
2 466 29
2 467 29
2 468 29
2 469 29
2 470 29
2 471 29
2 472 29
2 473 29
2 474 29
2 475 29
2 476 29
2 477 29
2 478 29
2 479 29
2 480 29
2 481 29
2 482 29
2 483 29
2 484 29
2 485 29
2 486 29
2 487 29
2 488 29
2 489 29
2 490 29
2 491 29
2 492 29
2 493 29
2 494 29
2 495 29
2 496 29
2 497 29
2 498 29
2 499 29
2 500 29
2 501 29
2 502 29
2 503 29
2 504 29
2 505 29
2 506 29
2 507 29
2 508 29
2 509 29
2 510 29
2 511 29
2 512 29
2 513 29
2 514 29
2 515 29
2 516 29
2 517 29
2 518 29
2 519 29
2 520 29
2 521 29
2 522 29
2 523 29
2 524 29
2 525 29
2 526 29
2 527 29
2 528 29
2 529 29
2 530 29
2 531 29
2 532 29
2 533 29
2 534 29
2 535 29
2 536 29
2 537 29
2 538 29
2 539 29
2 540 29
2 541 29
2 542 29
2 543 29
2 544 29
2 545 29
2 546 29
2 547 29
2 548 29
2 549 29
2 550 29
2 551 29
2 552 29
2 553 29
2 554 29
2 555 29
2 556 29
2 557 29
2 558 29
2 559 29
2 560 29
2 561 29
2 562 29
2 563 29
2 564 29
2 565 29
2 566 29
2 567 29
2 568 29
2 569 29
2 570 29
2 571 29
2 572 29
2 573 29
2 574 31
2 575 29
2 576 29
2 577 29
2 578 29
2 579 29
2 580 29
2 581 29
2 582 29
2 583 29
2 584 29
2 585 29
2 586 29
2 587 29
2 588 29
2 589 29
2 590 29
2 591 29
2 592 29
2 593 29
2 594 30
2 595 29
2 596 29
2 597 29
2 598 29
2 599 29
2 600 29
2 601 29
2 602 29
2 603 29
2 604 29
2 605 29
2 606 29
2 607 29
2 608 29
2 609 29
2 610 29
2 611 29
2 612 29
2 613 29
2 614 29
2 615 29
2 616 29
2 617 29
2 618 29
2 619 29
2 620 29
2 621 29
2 622 29
2 623 29
2 624 29
2 625 29
2 626 29
2 627 29
2 628 29
2 629 29
2 630 29
2 631 29
2 632 29
2 633 29
2 634 29
2 635 29
2 636 29
2 637 29
2 638 29
2 639 29
2 640 29
2 641 29
2 642 29
2 643 29
2 644 29
2 645 29
2 646 29
2 647 29
2 648 29
2 649 29
2 650 29
2 651 30
2 652 29
2 653 30
2 654 31
2 655 29
2 656 29
2 657 29
2 658 29
2 659 29
2 660 29
2 661 29
2 662 29
2 663 29
2 664 29
2 665 29
